"","ctrl1","ctrl2","ctrl3","ctrl4","RA1","RA2","RA3","RA4"
"IL31RA",147.5054336,146.1078215,8.965659266,6.106948988,13.26089467,98.46792677,137.2269454,148.0202826
"IL32",347.6174099,214.000042,120.0920089,130.0249754,129.1468632,381.0319672,902.5446013,308.9828606
"IL33",756.0010321,86.99994406,354.0010152,295.9989478,90.99981394,512.3034902,501.9998943,2043.998257
"IL34",3.999999851,25.99999204,25.99992887,15.99994687,17.99995016,146.9999643,159.0003901,81.00000098
"IL36A",0,0,0,0,0,0,0,0
"IL36B",0,33.00004781,0,0,0,0,0,0
"IL36G",0,0,0,0,0,0,0,0
"IL36RN",1.999999361,36.9999898,0,0,1.999994053,2.0000029,0,7.000004059
"IL37",0,0,0,0,0,1.000000313,0,0
"IL3RA",510.9997087,21.99994211,53.99996292,45.99987697,58.99984796,273.0000176,202.0003923,272.9999917
"IL4",0,0,0,0,0,2.999997166,0.999999736,17.99997931
"IL4I1",9.094552123,24.00004489,2.999997173,4.999988451,29.1944912,77.1098273,186.8683616,38.35253229
"IL4R",3348.137482,635.3231618,531.4114907,395.0757622,504.7885126,3098.447603,5371.108062,2248.603145
"IL5",22.99999813,7.999979134,8.000032405,0,0,14.00000229,9.000000942,84.99995935
"IL5RA",97.03942746,89.07258608,85.01205255,34.08715526,50.99986242,207.0377249,250.438754,410.3402334
"IL6",0,0,9.000007031,0,0,0,322.9999689,31.000012
"IL6R",3594.303922,301.6972706,364.7691757,306.46001,568.0952077,2259.928205,2473.617498,3846.569461
"IL6RP1",0,0,0,0,1.999988896,0,0,0
"IL6ST",10851.00437,2480.001024,2299.004357,2223.001847,3387.917944,20433.97865,20092.91852,21579.00355
"IL6STP1",0,0,0,0,2.078630141,2.01232951,3.031947889,0
"IL7",141.4535148,0,39.00008313,6.999999969,96.94255326,489.0999661,908.7910381,266.7607165
"IL7R",678.8723813,97.66935372,109.2684785,114.7004014,537.5629407,2693.068043,8821.083451,2299.64151
"IL9",0,0,0,0,0,0,0,0
"IL9R",12.38002556,5.000001117,0,7.000000454,5.672897644,22.37225558,18.3504612,0
"IL9RP1",10.42532481,0,0,0,0,1.290754799,0,0
"IL9RP2",0,0,0,0,0,0,0,0
"IL9RP3",23.74179649,0,0,0,7.327049185,17.33697891,64.64948556,3.000001732
"IL9RP4",8.452860079,0,1.999998427,0,0,0,0,6.9999885
"ILDR1",46.38132296,1.000000567,21.92421633,22.95459266,20.1003176,54.6396503,168.1611244,85.23204725
"ILDR2",94.33531768,59.03177363,33.00894646,4.001195419,41.56325235,129.4282669,116.453091,162.1896837
"ILF2",1086.238024,313.9997716,357.7447781,336.9997864,180.3695755,1504.110317,1916.007774,1452.00012
"ILF2P1",50.0000023,3.999992059,0,4.999986584,13.99998113,114.99996,27.02345468,57.99995825
"ILF2P2",0,0,0,0,2.9999889,0,0,0
"ILF3",6541.092576,1296.770533,1032.390616,888.8992064,821.812985,4522.491679,3943.820533,2788.334796
"ILK",2615.786306,712.0917156,531.0339602,414.052658,152.4459861,1227.542359,1026.868973,1458.648029
